ZONE_RU,ADM1_RU,ADM2_RU,ADM2_PCODE,KATO
Сухостепная,Акмолинская,Aршалынский,KZ113400,113400000
Полупустынная,В-Казахстанская,Абайский,KZ633200,633200000
Сухостепная,Актюбинская,Айтекебийский,KZ153400,153400000
Степная,С-Казахстанская,Айыртауский,KZ593200,593200000
Сухостепная,З-Казахстанская,Акжаикский,KZ273200,273200000
Степная,С-Казахстанская,Акжарский,KZ593400,593400000
Степная,С-Казахстанская,Аккайынский,KZ595800,595800000
Степная,Акмолинская,Аккольский,KZ113200,113200000
Сухостепная,Павлодарская,Аккулы,KZ555200,555200000
Сухостепная,Павлодарская,Аксу,KZ551600,551600000
Предгорно-пустынно-степная,Алматинская,Аксуский,KZ193200,193200000
Пустынная,Мангистауская,Актау,KZ471000,471000000
Сухостепная,Актюбинская,Актобе,KZ151000,151000000
Сухостепная,Карагандинская,Абайский,KZ353200,353200000
Полупустынная,Карагандинская,Актогайский,KZ353600,353600000
Предгорно-пустынно-степная,Алматинская,Алакольский,KZ193400,193400000
Предгорно-пустынно-степная,Алматы,Алатауский,KZ751210,751210000
Сухостепная,Актюбинская,Алгинский,KZ153200,153200000
Предгорно-пустынно-степная,Алматы,Алмалинский,KZ751110,751110000
Сухостепная,Нур-Султан,Алматинский,KZ711110,711110000
Южно-Сибирская горная и предгорная,В-Казахстанская,Алтайский,KZ634800,634800000
Степная,Костанайская,Алтынсаринский,KZ393200,393200000
Предгорно-пустынно-степная,Шымкент,Абайский,KZ791110,791110000
Предгорно-пустынно-степная,Шымкент,Аль-Фарабиский,KZ791310,791310000
Полупустынная,Костанайская,Амангельдинский,KZ393400,393400000
Пустынная,Кызылординская,Аральский,KZ433200,433200000
Полупустынная,Костанайская,Аркалык,KZ391600,391600000
Предгорно-пустынно-степная,Туркестанская,Арысь,KZ611600,611600000
Сухостепная,Акмолинская,Астраханский,KZ113600,113600000
Сухостепная,Акмолинская,Атбасарский,KZ113800,113800000
Пустынная,Атырауская,Атырау,KZ231000,231000000
Степная,Костанайская,Аулиекольский,KZ393600,393600000
Предгорно-пустынно-степная,Алматы,Ауэзовский,KZ751310,751310000
Полупустынная,В-Казахстанская,Аягозский,KZ633400,633400000
