"KATO","ZONE_EN","ZONE_KK","ZONE_RU","ADM1_RU","ADM2_RU","ADM2_PCODE"
"113400000","Dry-steppe",NA,"Сухостепная","Акмолинская","Aршалынский","KZ113400"
"633200000","Semi-desert","Жартылай шөл","Полупустынная","В-Казахстанская","Абайский","KZ633200"
"153400000","Dry-steppe",NA,"Сухостепная","Актюбинская","Айтекебийский","KZ153400"
"593200000","Steppe","Дала","Степная","С-Казахстанская","Айыртауский","KZ593200"
"273200000","Dry-steppe",NA,"Сухостепная","З-Казахстанская","Акжаикский","KZ273200"
"593400000","Steppe","Дала","Степная","С-Казахстанская","Акжарский","KZ593400"
"595800000","Steppe","Дала","Степная","С-Казахстанская","Аккайынский","KZ595800"
"113200000","Steppe","Дала","Степная","Акмолинская","Аккольский","KZ113200"
"555200000","Dry-steppe",NA,"Сухостепная","Павлодарская","Аккулы","KZ555200"
"551600000","Dry-steppe",NA,"Сухостепная","Павлодарская","Аксу","KZ551600"
"193200000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Алматинская","Аксуский","KZ193200"
"471000000","Desert","Шөл","Пустынная","Мангистауская","Актау","KZ471000"
"151000000","Dry-steppe",NA,"Сухостепная","Актюбинская","Актобе","KZ151000"
"353200000","Dry-steppe",NA,"Сухостепная","Карагандинская","Абайский","KZ353200"
"353600000","Semi-desert","Жартылай шөл","Полупустынная","Карагандинская","Актогайский","KZ353600"
"193400000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Алматинская","Алакольский","KZ193400"
"751210000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Алматы","Алатауский","KZ751210"
"153200000","Dry-steppe",NA,"Сухостепная","Актюбинская","Алгинский","KZ153200"
"751110000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Алматы","Алмалинский","KZ751110"
"711110000","Dry-steppe",NA,"Сухостепная","Нур-Султан","Алматинский","KZ711110"
"634800000","South Siberian mountain and foothill","Оңтүстік Сібір тауы мен тау бөктері","Южно-Сибирская горная и предгорная","В-Казахстанская","Алтайский","KZ634800"
"393200000","Steppe","Дала","Степная","Костанайская","Алтынсаринский","KZ393200"
"791110000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Шымкент","Абайский","KZ791110"
"791310000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Шымкент","Аль-Фарабиский","KZ791310"
