ID,CODE,RU_NAME,KZ_NAME,CHANGE_DATE,KATO
108,1917222,КУРЧУМСКИЙ РАЙОН,КЇРШІМ АУДАНЫ,2008-03-01 13:21:45,635200000
109,1917361,ЛЕВОБЕРЕЖНЫЙ РАЙОН,СОЛ ЖАЄА АУДАНЫ,2008-03-01 13:21:45,631010000
110,1917229,МАКАНЧИНСКИЙ РАЙОН,МАЌАНШЫ АУДАНЫ,2008-03-01 13:21:45,636400000
111,1917226,МАРКАКОЛЬСКИЙ Р-Н,МАРЌАКҐЛ АУДАНЫ,2008-03-01 13:21:45,635200000
112,1917232,НОВОШУЛЬБИНСКИЙ Р-Н,НОВОШУЛЬБА,2008-03-01 13:21:45,633800000
113,1917364,ОКТЯБРЬСКИЙ РАЙОН,ОКТЯБРЬ АУДАНЫ,2008-03-01 13:21:45,351011100
114,1917407,РИДДЕР,РИДДЕР,2008-03-01 13:21:45,632410000
115,1917236,САМАРСКИЙ РАЙОН,САМАР АУДАНЫ,2008-03-01 13:21:45,635000000
116,1917412,СЕМЕЙ,СЕМЕЙ,2014-03-19 10:24:56,632810000
117,1917410,СЕРЕБРЯНСК,СЕРЕБРЯНСК,2008-03-01 13:21:45,634821100
118,1917240,ТАВРИЧЕСКИЙ РАЙОН,ТАВРИЯ АУДАНЫ,2008-03-01 13:21:45,636200000
119,1917246,ТАРБАГАТАЙСКИЙ Р-Н,ТАРБАЄАТАЙ АУДАНЫ,2008-03-01 13:21:45,635800000
120,1917235,ТАСКЕСКЕНСКИЙ Р-Н,ТАСКЕСКЕН АУДАНЫ,2008-03-01 13:21:45,636400000
1,1902204,АККОЛЬСКИЙ РАЙОН,АЌКҐЛ АУДАНЫ,2008-03-01 13:21:45,113200000
2,1902217,АРШАЛЫНСКИЙ РАЙОН,АРШАЛЫ АУДАНЫ,2008-03-01 13:21:45,113400000
3,1902401,АСТАНА,АСТАНА,2008-03-01 13:21:45,710000000
4,1902207,АСТРАХАНСКИЙ РАЙОН,АСТРАХАН АУДАНЫ,2008-03-01 13:21:45,113600000
5,1902403,АТБАСАРСКИЙ РАЙОН,АТБАСАР,2008-03-01 13:21:45,113800000
6,1902210,АТБАСАРСКИЙ РАЙОН,АТБАСАР АУДАНЫ,2008-03-01 13:21:45,113800000
7,1902234,БУЛАНДЫНСКИЙ РАЙОН,БЎЛАНДЫ АУДАНЫ,2008-03-01 13:21:45,114000000
8,1902227,ЕГИНДЫКОЛЬСКИЙ РАЙОН,ЕГІНДІКҐЛ АУДАНЫ,2008-03-01 13:21:45,114400000
